                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.8436,                 1.9761,                 1.7752,                0.39137,                0.30024,                0.28844,                0.13268,                 2.2197,                 2.6752,                 2.0718,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.8734,                 1.8576,                 1.7592,                0.41799,                0.42222,                0.37727,                0.16046,                 2.1402,                 2.2769,                  2.073,              0.0012575,              0.0012575,              0.0012575
                     77,                  1.872,                 1.8888,                 1.7566,                0.44346,                0.44444,                0.39058,                0.17207,                 2.4467,                 2.6015,                 2.1753,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.7849,                 2.2523,                 1.6872,                0.35868,                0.31111,                0.25743,                0.11781,                 2.2244,                 2.7263,                 2.0671,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.9127,                 2.0812,                 1.8365,                0.57787,                0.48889,                0.35116,                0.14043,                 2.0945,                  2.367,                 1.9325,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.7945,                  1.923,                 1.7564,                0.44869,                0.45225,                0.35914,                0.15755,                  2.374,                 2.7411,                 2.1599,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.8418,                 1.9303,                 1.7336,                0.40824,                0.42222,                0.30832,                0.12393,                 2.4487,                 2.8116,                 2.2085,               0.001208,               0.001208,               0.001208
                     82,                 1.8143,                 1.8954,                  1.708,                0.39936,                0.41383,                0.34755,                0.14381,                 2.4639,                  2.778,                 2.2893,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.7756,                  1.854,                 1.7105,                0.40215,                0.48889,                0.34978,                0.14204,                 2.3893,                 2.6579,                 2.2144,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.7796,                 1.8273,                   1.69,                0.43191,                0.42222,                0.34202,                0.15444,                 2.0938,                  2.457,                 1.9696,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.7861,                 1.8294,                  1.708,                0.40888,                 0.4766,                0.37831,                0.15391,                 2.1478,                 2.4092,                 1.9838,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.8139,                  1.837,                 1.7616,                0.47252,                0.48889,                0.36952,                0.14426,                 2.3048,                 2.7221,                 2.0987,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.8155,                 1.8687,                 1.7563,                0.36751,                0.42222,                0.31176,                0.11448,                 2.3618,                 2.8072,                 2.1603,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.7874,                 1.8605,                 1.6981,                0.38985,                0.52543,                0.33006,                0.13289,                 2.3431,                 2.5506,                 2.0723,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.7769,                 1.8263,                 1.7087,                0.40038,                0.46667,                0.29139,                 0.1394,                 2.3714,                 2.5161,                 2.1573,              0.0011288,              0.0011288,              0.0011288
                     90,                   1.65,                  1.736,                 1.6414,                0.47241,                0.46667,                0.33214,                0.13642,                 2.3576,                 2.7311,                 2.1342,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.7412,                    1.7,                  1.691,                0.50594,                0.56901,                   0.43,                0.16103,                 2.4857,                 2.7633,                 2.3273,               0.001109,               0.001109,               0.001109
                     92,                 1.7855,                 1.7223,                 1.6516,                0.55344,                0.44444,                0.44574,                0.16473,                 2.4241,                 2.6372,                 2.3378,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.7873,                 1.7905,                 1.6636,                 0.5355,                0.37778,                0.35224,                0.13208,                 2.3935,                 2.9006,                 2.2473,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.7434,                 1.7052,                 1.6641,                0.45833,                0.42222,                0.38129,                0.15057,                 2.1387,                 2.5909,                 1.9838,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.6847,                 1.6722,                 1.6242,                0.46786,                0.48889,                0.33916,                0.12981,                 2.3336,                 3.1588,                  2.177,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.6829,                 1.7644,                 1.6732,                0.33345,                0.48889,                0.29723,                0.12616,                 2.3675,                 2.7168,                 2.2243,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.7073,                 1.6243,                 1.6041,                 0.4925,                0.42222,                0.38536,                0.15342,                 2.4846,                 2.7153,                 2.3234,              0.0010496,              0.0010496,              0.0010496
                     98,                  1.719,                  1.707,                 1.6423,                0.42089,                0.48889,                0.34633,                0.16275,                 2.3781,                 2.4962,                 2.1741,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.7474,                 1.8195,                 1.6835,                0.48624,                0.42222,                0.31948,                0.13231,                  2.379,                 2.8048,                 2.2868,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.6958,                 1.6166,                 1.6239,                0.42156,                0.44444,                0.37194,                0.15102,                  2.243,                 2.6267,                 2.0716,              0.0010199,              0.0010199,              0.0010199
                    101,                  1.675,                  1.625,                 1.6169,                0.56159,                0.44444,                0.39303,                0.15965,                 2.2162,                 2.6157,                  2.072,                0.00101,                0.00101,                0.00101
                    102,                 1.6919,                 1.6163,                 1.5981,                0.52371,                0.43992,                0.34845,                0.15848,                 2.3658,                 2.7843,                 2.1916,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.6321,                 1.7512,                 1.6662,                  0.593,                0.37778,                0.38625,                0.16509,                 2.2202,                 2.3884,                  2.088,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.7355,                 1.8015,                 1.7486,                0.40711,                    0.4,                0.30581,                0.13009,                 2.3127,                 2.5719,                 2.2043,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.6917,                 1.7062,                 1.6471,                0.50363,                    0.4,                0.35604,                0.15332,                  2.469,                 2.5699,                 2.2602,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.7051,                 1.7045,                 1.6687,                0.62245,                0.42222,                0.41495,                0.17184,                 2.3125,                 2.4265,                 2.1784,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.7234,                 1.6206,                 1.6374,                0.54789,                0.46667,                0.43167,                 0.1896,                 2.2812,                 2.1928,                 2.2815,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.6599,                 1.6553,                 1.6546,                0.52556,                0.41857,                0.40799,                0.19302,                 2.1245,                 2.3558,                 2.0068,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.6362,                 1.6018,                 1.5847,                0.46651,                0.36936,                0.34701,                  0.147,                 2.5127,                  2.765,                 2.3759,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.6896,                 1.6359,                 1.6729,                0.52876,                0.51111,                0.44197,                0.20285,                 1.9074,                 2.0698,                 1.9259,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.6516,                 1.5812,                  1.609,                0.50045,                0.44444,                0.34828,                 0.1566,                  2.008,                 2.3165,                 1.9028,               0.000911,               0.000911,               0.000911
                    112,                  1.626,                  1.556,                 1.5901,                0.47407,                0.48086,                0.34338,                0.15363,                 2.0312,                 2.3393,                 1.9029,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.6859,                 1.6852,                 1.6299,                0.45501,                0.44444,                0.39534,                0.17842,                 2.1704,                 2.3303,                    2.1,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.6747,                 1.6543,                 1.6314,                0.47934,                0.47061,                0.39855,                 0.1891,                 2.2135,                 2.2217,                 2.1723,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.5812,                 1.5378,                 1.5718,                0.54264,                0.35556,                0.32988,                 0.1602,                 2.1371,                 2.6921,                 2.1041,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.5701,                 1.5034,                 1.5594,                0.43937,                0.55556,                0.41324,                0.18466,                 2.1832,                  2.532,                 2.1432,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.7096,                  1.606,                  1.635,                0.54024,                0.44444,                0.42841,                0.19616,                 2.3138,                 2.6728,                 2.1111,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.6166,                 1.5464,                 1.5132,                 0.5866,                    0.4,                 0.3823,                0.16717,                 2.2252,                 2.6132,                 2.1544,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.5729,                 1.5194,                 1.5683,                0.52637,                0.48889,                0.42902,                0.20323,                 2.2029,                 2.4087,                 2.1211,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.6015,                 1.5311,                 1.5664,                0.62269,                0.51111,                0.43965,                0.19262,                 2.1066,                 2.4333,                 1.9701,              0.0008219,              0.0008219,              0.0008219
                    121,                  1.677,                 1.6106,                 1.6272,                0.49483,                0.56605,                0.36789,                0.15209,                  2.246,                 2.6285,                 2.1285,               0.000812,               0.000812,               0.000812
                    122,                 1.5995,                 1.5675,                 1.5712,                0.52993,                0.50117,                0.40362,                0.17825,                 2.1598,                 2.4657,                  2.049,              0.0008021,              0.0008021,              0.0008021
                    123,                  1.651,                 1.6447,                 1.6035,                0.57703,                0.51111,                 0.4665,                0.19966,                 2.2906,                 2.5234,                 2.1305,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.5353,                 1.6474,                 1.5165,                0.48726,                0.55556,                0.40252,                0.18479,                 2.1985,                   2.51,                 2.1419,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.6164,                 1.6747,                  1.683,                0.46007,                0.44444,                0.36773,                0.16522,                 2.2648,                 2.8946,                 2.1463,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.6072,                 1.5301,                 1.5477,                0.52903,                0.48889,                0.39636,                 0.1662,                 2.3101,                 2.7429,                 2.1422,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.5919,                 1.5091,                 1.5919,                0.51543,                0.46667,                0.40499,                0.17996,                 2.1339,                 2.6082,                 2.0239,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.5696,                  1.583,                 1.5714,                0.48305,                0.53999,                 0.3916,                0.16379,                 2.2125,                 2.6457,                 2.0558,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.5653,                 1.4463,                 1.5364,                0.47266,                0.51111,                0.34623,                 0.1628,                 2.1915,                 2.6891,                 2.0384,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.5698,                 1.4028,                 1.5436,                0.51908,                0.47985,                 0.3787,                0.17195,                 2.0775,                 2.6875,                 2.0593,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.5438,                 1.3955,                 1.5221,                0.54154,                0.63008,                0.44536,                0.18179,                 2.1569,                 2.4648,                 2.2256,               0.000713,               0.000713,               0.000713
                    132,                 1.5318,                 1.4486,                 1.5714,                0.57489,                 0.5711,                0.43577,                0.17079,                 2.2484,                  2.439,                 2.2752,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.5374,                 1.4655,                 1.5119,                0.65757,                0.53333,                0.48604,                0.19447,                 2.1396,                 2.4415,                 2.0697,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.5611,                 1.5099,                 1.5427,                0.44954,                0.51111,                0.41823,                0.19266,                 2.2402,                 2.5285,                 2.0983,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.5305,                 1.4499,                 1.5284,                0.55661,                0.37778,                0.39214,                0.18931,                 2.3011,                  2.877,                 2.1666,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.5134,                 1.3981,                  1.512,                0.54562,                0.46667,                0.41944,                0.19616,                 2.0992,                 2.6641,                 2.0386,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.5745,                 1.4038,                 1.4858,                 0.5336,                0.53333,                0.46745,                0.20223,                 2.2356,                 2.4952,                  2.106,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.5093,                 1.4063,                 1.4976,                0.53127,                 0.4535,                 0.4466,                0.18807,                 2.1286,                 2.6392,                 2.0457,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.4747,                 1.3759,                 1.4743,                0.52474,                0.51111,                0.42619,                0.18997,                 2.0942,                 2.4545,                 2.0433,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.5434,                 1.4894,                 1.5667,                0.53964,                0.42222,                0.36946,                0.19618,                 2.1027,                 2.5015,                 2.0494,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.4442,                 1.4101,                 1.4909,                0.48451,                0.53333,                0.38651,                0.16769,                 2.1019,                 2.6874,                 2.0582,               0.000614,               0.000614,               0.000614
                    142,                  1.443,                 1.3002,                  1.424,                0.50061,                0.55693,                0.45694,                0.19728,                  1.999,                 2.5458,                 1.9607,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.4126,                 1.3082,                  1.449,                0.58537,                0.51111,                0.45134,                0.18658,                 2.1001,                 2.5236,                 1.9807,              0.0005942,              0.0005942,              0.0005942
                    144,                  1.454,                 1.3635,                 1.4931,                0.58491,                0.55556,                0.45907,                0.19759,                 2.2894,                  2.478,                 2.1235,              0.0005843,              0.0005843,              0.0005843
