                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.1167,                0.88013,                 1.3216,                0.46377,                0.42857,                0.42421,                0.20899,                 2.0301,                 1.8477,                 2.2513,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.0118,                0.73139,                 1.1464,                0.46377,                0.42857,                0.42421,                0.20899,                 2.0301,                 1.8477,                 2.2513,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.0398,                0.81832,                 1.1885,                0.43931,                0.51897,                0.46943,                0.23117,                 1.9955,                 1.7089,                 2.2301,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.0993,                0.80573,                 1.3037,                0.53839,                0.44156,                0.47353,                0.23822,                 1.9867,                  1.642,                 2.2251,              0.0006635,              0.0006635,              0.0006635
                    137,                  1.076,                0.78407,                 1.2014,                0.64889,                0.45455,                0.47851,                 0.2192,                  2.017,                 1.6869,                 2.2432,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.1475,                0.84034,                  1.311,                0.64523,                0.42857,                0.47964,                0.20819,                 2.0249,                 1.7388,                 2.2641,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.0314,                0.72622,                 1.1968,                0.60248,                0.42857,                0.45303,                0.19707,                  2.023,                 1.7678,                 2.2778,              0.0006338,              0.0006338,              0.0006338
                    140,                0.99415,                0.73665,                  1.165,                0.60704,                0.44136,                0.42938,                0.19525,                 2.0406,                 1.7485,                 2.2805,              0.0006239,              0.0006239,              0.0006239
                    141,                 0.9857,                0.72528,                 1.1654,                0.53447,                0.41558,                 0.4166,                0.19397,                 2.0506,                 1.7765,                 2.2837,               0.000614,               0.000614,               0.000614
                    142,                 1.0186,                0.72194,                  1.173,                0.53447,                0.41558,                 0.4166,                0.19397,                 2.0506,                 1.7765,                 2.2837,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.0031,                0.75461,                 1.2117,                0.54109,                0.38961,                0.40025,                0.18328,                 2.0552,                 1.8279,                 2.2829,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.0213,                0.71858,                 1.1651,                0.50475,                0.45455,                0.42593,                0.19039,                 2.0708,                 1.7963,                 2.3082,              0.0005843,              0.0005843,              0.0005843
                    145,                 0.9159,                0.64353,                 1.0714,                0.64702,                0.37662,                0.43212,                0.18987,                 2.1004,                  1.717,                 2.3822,              0.0005744,              0.0005744,              0.0005744
                    146,                0.96678,                0.74135,                 1.1992,                 0.5514,                 0.4026,                0.42564,                0.19818,                 2.0903,                 1.6774,                 2.3965,              0.0005645,              0.0005645,              0.0005645
                    147,                0.94025,                0.64999,                 1.1138,                 0.4621,                0.45455,                0.43302,                0.19868,                 2.0987,                  1.677,                 2.4167,              0.0005546,              0.0005546,              0.0005546
                    148,                0.96269,                0.70796,                 1.1797,                0.41101,                0.49351,                0.41939,                0.19278,                 2.0925,                 1.7062,                 2.3877,              0.0005447,              0.0005447,              0.0005447
                    149,                0.93144,                0.63222,                 1.1126,                0.38029,                0.50649,                0.38247,                0.17666,                 2.0615,                 1.7859,                 2.3661,              0.0005348,              0.0005348,              0.0005348
                    150,                0.99051,                0.76732,                 1.1956,                0.38029,                0.50649,                0.38247,                0.17666,                 2.0615,                 1.7859,                 2.3661,              0.0005249,              0.0005249,              0.0005249
